work_year;experience_level;employment_type;job_title;salary;salary_currency;employee_residence;work_type;company_location;company_size
2020;Mid Level;Full Time;Data Scientist;70000;EUR;DE;On Site;DE;Large
2020;Senior Level;Full Time;Machine Learning Scientist;260000;USD;JP;On Site;JP;Small
2020;Senior Level;Full Time;Big Data Engineer;85000;GBP;GB;Hybrid;GB;Medium
2020;Mid Level;Full Time;Product Data Analyst;20000;USD;HN;On Site;HN;Small
2020;Senior Level;Full Time;Machine Learning Engineer;150000;USD;US;Hybrid;US;Large
2020;Entry Level;Full Time;Data Analyst;72000;USD;US;Fully Remote;US;Large
2020;Senior Level;Full Time;Lead Data Scientist;190000;USD;US;Fully Remote;US;Small
2020;Mid Level;Full Time;Data Scientist;11000000;HUF;HU;Hybrid;HU;Large
2020;Mid Level;Full Time;Business Data Analyst;135000;USD;US;Fully Remote;US;Large
2020;Senior Level;Full Time;Lead Data Engineer;125000;USD;NZ;Hybrid;NZ;Small
2020;Entry Level;Full Time;Data Scientist;45000;EUR;FR;On Site;FR;Small
2020;Mid Level;Full Time;Data Scientist;3000000;INR;IN;On Site;IN;Large
2020;Entry Level;Full Time;Data Scientist;35000;EUR;FR;On Site;FR;Medium
2020;Mid Level;Full Time;Lead Data Analyst;87000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Analyst;85000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Analyst;8000;USD;PK;Hybrid;PK;Large
2020;Entry Level;Full Time;Data Engineer;4450000;JPY;JP;Fully Remote;JP;Small
2020;Senior Level;Full Time;Big Data Engineer;100000;EUR;PL;Fully Remote;GB;Small
2020;Entry Level;Full Time;Data Science Consultant;423000;INR;IN;Hybrid;IN;Medium
2020;Mid Level;Full Time;Lead Data Engineer;56000;USD;PT;Fully Remote;US;Medium
2020;Mid Level;Full Time;Machine Learning Engineer;299000;CNY;CN;On Site;CN;Medium
2020;Mid Level;Full Time;Product Data Analyst;450000;INR;IN;Fully Remote;IN;Large
2020;Senior Level;Full Time;Data Engineer;42000;EUR;GR;Hybrid;GR;Large
2020;Mid Level;Full Time;BI Data Analyst;98000;USD;US;On Site;US;Medium
2020;Mid Level;Full Time;Lead Data Scientist;115000;USD;AE;On Site;AE;Large
2020;Executive;Full Time;Director of Data Science;325000;USD;US;Fully Remote;US;Large
2020;Entry Level;Full Time;Research Scientist;42000;USD;NL;Hybrid;NL;Large
2020;Senior Level;Full Time;Data Engineer;720000;MXN;MX;On Site;MX;Small
2020;Entry Level;Contract;Business Data Analyst;100000;USD;US;Fully Remote;US;Large
2020;Senior Level;Full Time;Machine Learning Manager;157000;CAD;CA;Hybrid;CA;Large
2020;Mid Level;Full Time;Data Engineering Manager;51999;EUR;DE;Fully Remote;DE;Small
2020;Entry Level;Full Time;Big Data Engineer;70000;USD;US;Fully Remote;US;Large
2020;Senior Level;Full Time;Data Scientist;60000;EUR;GR;Fully Remote;US;Large
2020;Mid Level;Full Time;Research Scientist;450000;USD;US;On Site;US;Medium
2020;Mid Level;Full Time;Data Analyst;41000;EUR;FR;Hybrid;FR;Large
2020;Mid Level;Full Time;Data Engineer;65000;EUR;AT;Hybrid;AT;Large
2020;Mid Level;Full Time;Data Science Consultant;103000;USD;US;Fully Remote;US;Large
2020;Entry Level;Full Time;Machine Learning Engineer;250000;USD;US;Hybrid;US;Large
2020;Entry Level;Full Time;Data Analyst;10000;USD;NG;Fully Remote;NG;Small
2020;Entry Level;Full Time;Machine Learning Engineer;138000;USD;US;Fully Remote;US;Small
2020;Mid Level;Full Time;Data Scientist;45760;USD;PH;Fully Remote;US;Small
2020;Executive;Full Time;Data Engineering Manager;70000;EUR;ES;Hybrid;ES;Large
2020;Mid Level;Full Time;Machine Learning Infrastructure Engineer;44000;EUR;PT;On Site;PT;Medium
2020;Mid Level;Full Time;Data Engineer;106000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Engineer;88000;GBP;GB;Hybrid;GB;Large
2020;Entry Level;Part Time;ML Engineer;14000;EUR;DE;Fully Remote;DE;Small
2020;Mid Level;Full Time;Data Scientist;60000;GBP;GB;Fully Remote;GB;Small
2020;Senior Level;Full Time;Data Engineer;188000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Scientist;105000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Engineer;61500;EUR;FR;Hybrid;FR;Large
2020;Entry Level;Full Time;Data Analyst;450000;INR;IN;On Site;IN;Small
2020;Entry Level;Full Time;Data Analyst;91000;USD;US;Fully Remote;US;Large
2020;Entry Level;Full Time;AI Scientist;300000;DKK;DK;Hybrid;DK;Small
2020;Entry Level;Full Time;Data Engineer;48000;EUR;PK;Fully Remote;DE;Large
2020;Senior Level;Freelance;Computer Vision Engineer;60000;USD;RU;Fully Remote;US;Small
2020;Senior Level;Full Time;Principal Data Scientist;130000;EUR;DE;Fully Remote;DE;Medium
2020;Mid Level;Full Time;Data Scientist;34000;EUR;ES;Fully Remote;ES;Medium
2020;Mid Level;Full Time;Data Scientist;118000;USD;US;Fully Remote;US;Medium
2020;Senior Level;Full Time;Data Scientist;120000;USD;US;Hybrid;US;Large
2020;Mid Level;Full Time;Data Scientist;138350;USD;US;Fully Remote;US;Medium
2020;Mid Level;Full Time;Data Engineer;110000;USD;US;Fully Remote;US;Large
2020;Mid Level;Full Time;Data Engineer;130800;USD;ES;Fully Remote;US;Medium
2020;Entry Level;Part Time;Data Scientist;19000;EUR;IT;Hybrid;IT;Small
2020;Senior Level;Full Time;Data Scientist;412000;USD;US;Fully Remote;US;Large
2020;Senior Level;Full Time;Machine Learning Engineer;40000;EUR;HR;Fully Remote;HR;Small
2020;Entry Level;Full Time;Data Scientist;55000;EUR;DE;Hybrid;DE;Small
2020;Entry Level;Full Time;Data Scientist;43200;EUR;DE;On Site;DE;Small
2020;Senior Level;Full Time;Data Science Manager;190200;USD;US;Fully Remote;US;Medium
2020;Entry Level;Full Time;Data Scientist;105000;USD;US;Fully Remote;US;Small
2020;Senior Level;Full Time;Data Scientist;80000;EUR;AT;On Site;AT;Small
2020;Mid Level;Full Time;Data Scientist;55000;EUR;FR;Hybrid;LU;Small
2020;Mid Level;Full Time;Data Scientist;37000;EUR;FR;Hybrid;FR;Small
2021;Entry Level;Full Time;Research Scientist;60000;GBP;GB;Hybrid;GB;Large
2021;Executive;Full Time;BI Data Analyst;150000;USD;IN;Fully Remote;US;Large
2021;Executive;Full Time;Head of Data;235000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Scientist;45000;EUR;FR;Hybrid;FR;Large
2021;Mid Level;Full Time;BI Data Analyst;100000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Part Time;3D Computer Vision Researcher;400000;INR;IN;Hybrid;IN;Medium
2021;Mid Level;Contract;ML Engineer;270000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;Data Analyst;80000;USD;US;Fully Remote;US;Medium
2021;Senior Level;Full Time;Data Analytics Engineer;67000;EUR;DE;Fully Remote;DE;Large
2021;Mid Level;Full Time;Data Engineer;140000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Applied Data Scientist;68000;CAD;GB;Hybrid;CA;Large
2021;Mid Level;Full Time;Machine Learning Engineer;40000;EUR;ES;Fully Remote;ES;Small
2021;Executive;Full Time;Director of Data Science;130000;EUR;IT;Fully Remote;PL;Large
2021;Mid Level;Full Time;Data Engineer;110000;PLN;PL;Fully Remote;PL;Large
2021;Entry Level;Full Time;Data Analyst;50000;EUR;FR;Hybrid;FR;Medium
2021;Mid Level;Full Time;Data Analytics Engineer;110000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Lead Data Analyst;170000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Analyst;80000;USD;BG;Fully Remote;US;Small
2021;Senior Level;Full Time;Marketing Data Analyst;75000;EUR;GR;Fully Remote;DK;Large
2021;Entry Level;Full Time;Data Science Consultant;65000;EUR;DE;Fully Remote;DE;Small
2021;Mid Level;Full Time;Lead Data Analyst;1450000;INR;IN;Fully Remote;IN;Large
2021;Senior Level;Full Time;Lead Data Engineer;276000;USD;US;On Site;US;Large
2021;Entry Level;Full Time;Data Scientist;2200000;INR;IN;Hybrid;IN;Large
2021;Mid Level;Full Time;Cloud Data Engineer;120000;SGD;SG;Hybrid;SG;Large
2021;Entry Level;Part Time;AI Scientist;12000;USD;BR;Fully Remote;US;Small
2021;Mid Level;Full Time;Financial Data Analyst;450000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;Computer Vision Software Engineer;70000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Computer Vision Software Engineer;81000;EUR;DE;Fully Remote;US;Small
2021;Mid Level;Full Time;Data Analyst;75000;USD;US;On Site;US;Large
2021;Senior Level;Full Time;Data Engineer;150000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;BI Data Analyst;11000000;HUF;HU;Hybrid;US;Large
2021;Mid Level;Full Time;Data Analyst;62000;USD;US;On Site;US;Large
2021;Mid Level;Full Time;Data Scientist;73000;USD;US;On Site;US;Large
2021;Mid Level;Full Time;Data Analyst;37456;GBP;GB;Hybrid;GB;Large
2021;Mid Level;Full Time;Research Scientist;235000;CAD;CA;Fully Remote;CA;Large
2021;Senior Level;Full Time;Data Engineer;115000;USD;US;Fully Remote;US;Small
2021;Senior Level;Full Time;Data Engineer;150000;USD;US;Fully Remote;US;Medium
2021;Entry Level;Full Time;Data Engineer;2250000;INR;IN;Fully Remote;IN;Large
2021;Senior Level;Full Time;Machine Learning Engineer;80000;EUR;DE;Hybrid;DE;Large
2021;Senior Level;Full Time;Director of Data Engineering;82500;GBP;GB;Fully Remote;GB;Medium
2021;Senior Level;Full Time;Lead Data Engineer;75000;GBP;GB;Fully Remote;GB;Small
2021;Entry Level;Part Time;AI Scientist;12000;USD;PK;Fully Remote;US;Medium
2021;Mid Level;Full Time;Data Engineer;38400;EUR;NL;Fully Remote;NL;Large
2021;Entry Level;Full Time;Machine Learning Scientist;225000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Scientist;50000;USD;NG;Fully Remote;NG;Large
2021;Mid Level;Full Time;Data Science Engineer;34000;EUR;GR;Fully Remote;GR;Medium
2021;Entry Level;Full Time;Data Analyst;90000;USD;US;Fully Remote;US;Small
2021;Mid Level;Full Time;Data Engineer;200000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Big Data Engineer;60000;USD;ES;Hybrid;RO;Medium
2021;Senior Level;Full Time;Principal Data Engineer;200000;USD;US;Fully Remote;US;Medium
2021;Entry Level;Full Time;Data Analyst;50000;USD;US;Fully Remote;US;Medium
2021;Entry Level;Full Time;Applied Data Scientist;80000;GBP;GB;On Site;GB;Large
2021;Entry Level;Part Time;Data Analyst;8760;EUR;ES;Hybrid;ES;Medium
2021;Mid Level;Full Time;Principal Data Scientist;151000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Machine Learning Scientist;120000;USD;US;Hybrid;US;Small
2021;Mid Level;Full Time;Data Scientist;700000;INR;IN;On Site;IN;Small
2021;Entry Level;Full Time;Machine Learning Engineer;20000;USD;IN;Fully Remote;IN;Small
2021;Senior Level;Full Time;Lead Data Scientist;3000000;INR;IN;Hybrid;IN;Large
2021;Entry Level;Full Time;Machine Learning Developer;100000;USD;IQ;Hybrid;IQ;Small
2021;Entry Level;Full Time;Data Scientist;42000;EUR;FR;Hybrid;FR;Medium
2021;Mid Level;Full Time;Applied Machine Learning Scientist;38400;USD;VN;Fully Remote;US;Medium
2021;Senior Level;Full Time;Computer Vision Engineer;24000;USD;BR;Fully Remote;BR;Medium
2021;Entry Level;Full Time;Data Scientist;100000;USD;US;On Site;US;Small
2021;Mid Level;Full Time;Data Analyst;90000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;ML Engineer;7000000;JPY;JP;Hybrid;JP;Small
2021;Mid Level;Full Time;ML Engineer;8500000;JPY;JP;Hybrid;JP;Small
2021;Senior Level;Full Time;Principal Data Scientist;220000;USD;US;On Site;US;Large
2021;Entry Level;Full Time;Data Scientist;80000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Data Analyst;135000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Science Manager;240000;USD;US;On Site;US;Large
2021;Senior Level;Full Time;Data Engineering Manager;150000;USD;US;On Site;US;Large
2021;Mid Level;Full Time;Data Scientist;82500;USD;US;Fully Remote;US;Small
2021;Mid Level;Full Time;Data Engineer;100000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Machine Learning Engineer;70000;EUR;BE;Hybrid;BE;Medium
2021;Mid Level;Full Time;Research Scientist;53000;EUR;FR;Hybrid;FR;Medium
2021;Mid Level;Full Time;Data Engineer;90000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Engineering Manager;153000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Cloud Data Engineer;160000;USD;BR;Fully Remote;US;Small
2021;Senior Level;Full Time;Director of Data Science;168000;USD;JP;On Site;JP;Small
2021;Mid Level;Full Time;Data Scientist;150000;USD;US;Fully Remote;US;Medium
2021;Mid Level;Full Time;Data Scientist;95000;CAD;CA;Fully Remote;CA;Large
2021;Entry Level;Full Time;Data Scientist;13400;USD;UA;Fully Remote;UA;Large
2021;Senior Level;Full Time;Data Science Manager;144000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Data Science Engineer;159500;CAD;CA;Hybrid;CA;Large
2021;Mid Level;Full Time;Data Scientist;160000;SGD;SG;Fully Remote;IL;Medium
2021;Mid Level;Full Time;Applied Machine Learning Scientist;423000;USD;US;Hybrid;US;Large
2021;Senior Level;Full Time;Data Analytics Manager;120000;USD;US;Fully Remote;US;Medium
2021;Entry Level;Full Time;Machine Learning Engineer;125000;USD;US;Fully Remote;US;Small
2021;Executive;Full Time;Head of Data;230000;USD;RU;Hybrid;RU;Large
2021;Executive;Full Time;Head of Data Science;85000;USD;RU;On Site;RU;Medium
2021;Mid Level;Full Time;Data Engineer;24000;EUR;MT;Hybrid;MT;Large
2021;Entry Level;Full Time;Data Science Consultant;54000;EUR;DE;Hybrid;DE;Large
2021;Executive;Full Time;Director of Data Science;110000;EUR;DE;Hybrid;DE;Medium
2021;Senior Level;Full Time;Data Specialist;165000;USD;US;Fully Remote;US;Large
2021;Entry Level;Full Time;Data Engineer;80000;USD;US;Fully Remote;US;Large
2021;Executive;Full Time;Director of Data Science;250000;USD;US;On Site;US;Large
2021;Entry Level;Full Time;BI Data Analyst;55000;USD;US;Hybrid;US;Small
2021;Mid Level;Full Time;Data Architect;150000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Architect;170000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Engineer;60000;GBP;GB;Fully Remote;GB;Large
2021;Entry Level;Full Time;Data Analyst;60000;USD;US;Fully Remote;US;Small
2021;Senior Level;Full Time;Principal Data Scientist;235000;USD;US;Fully Remote;US;Large
2021;Senior Level;Full Time;Research Scientist;51400;EUR;PT;Hybrid;PT;Large
2021;Senior Level;Full Time;Data Engineering Manager;174000;USD;US;Fully Remote;US;Large
2021;Mid Level;Full Time;Data Scientist;58000;MXN;MX;On Site;MX;Small
2021;Mid Level;Full Time;Data Scientist;30400000;CLP;CL;Fully Remote;CL;Large
2021;Entry Level;Full Time;Machine Learning Engineer;81000;USD;US;Hybrid;US;Small
2021;Mid Level;Full Time;Data Scientist;420000;INR;IN;Fully Remote;US;Small
2021;Mid Level;Full Time;Big Data Engineer;1672000;INR;IN;On Site;IN;Large
2021;Mid Level;Full Time;Data Scientist;76760;EUR;DE;Hybrid;DE;Large
2021;Mid Level;Full Time;Data Engineer;22000;EUR;RO;On Site;US;Large
2021;Senior Level;Full Time;Finance Data Analyst;45000;GBP;GB;Hybrid;GB;Large
2021;Mid Level;Freelance;Machine Learning Scientist;12000;USD;PK;Hybrid;PK;Medium
2021;Mid Level;Full Time;Data Engineer;4000;USD;IR;Fully Remote;IR;Medium
